Material_Code,Material_Description,Base_Abb,Base_Type,Moulding_Type_Abb,Moulding_Type,Product_Type_Abb,Product_Type,Colour_TF,Dimensions_Vibration_Drops_EU,Project_Phase,Certification,Base_Colour,Additional_Colour,Kosher_Certificate_Abb,Kosher_Certificate,Country_Claim,FP_TYPE3_CLV_S,LEGISLATION_L,DOSAGE_COLD_MILK_CLV_S,DOSAGE_COLD_WATER_CLV_S,DOSAGE_HOT_MILK_CLV_S,DOSAGE_HOT_WATER_CLV_S,Fineness_Type,Colour_L_Value_From,pH_From,pH_To,Normalised_Linear_Mpa_S_From,Normalised_Linear_Viscosity_mPaS_To,Normalised_Casson_mPaS_From,Normalised_Casson_mPaS_To,Normalised_Yield_Pa_From,Normalised_Yield_Pa_To,Fineness_Micrometer_From,Fineness_Micrometer_To,Dimensions_Length_From,Dimensions_Length_To,Dimensions_Width_From,Dimensions_Width_To,Dimensions_Count_Kg_From,Dimensions_Count_Kg_To,Dimensions_Sieve_Fraction_From,Dimensions_Sieve_Fraction_To,Dimensions_Height_From,Dimensions_Height_To,Dimensions_Count_lb_From,Dimensions_Count_lb_To,Brookfield_40C_S27_20_RPM_From,Brookfield_40C_S27_20_RPM_To,Brookfield_50C_S27_20_RPM_From,Brookfield_50C_S27_20_RPM_To,Brookfield_50C_S27_Regression_From,Brookfield_50C_S27_Regression_To,Brookfield_50C_S27_Yield_From,Brookfield_50C_S27_Yield_To,Brookfield_40C_S27_Regression_From,Brookfield_40C_S27_Regression_To,Brookfield_40C_S27_Yield_From,Brookfield_40C_S27_Yield_To,Water_Activity_From,Water_Activity_To,Shelflife,Category,Region,Cust_Dedic,Proj_Phase,Plant_BoM_Owner,Underlying_Liquid,Colour_TF2,Project_Manager,Dimensions_Vibration_Drops_EU2,Project_Number,Dimensions_Production_Tools_Us,Certification2,Project_Phase2,Base_Colour2,Additional_Colour2,Country_Claim2,M022_01_ATFLV_CLV_N,M022_01_ATFLB_CLV_N,M022_02_ATFLV_CLV_N,M022_02_ATFLB_CLV_N,M023_01_ATFLV_CLV_N,M023_01_ATFLB_CLV_N
ILD-S5VHPSG-EU-03M,VH EASYMELT 10KG/BOX 64BOX/PAL,D,Dark,EAS,Easymelt,IL,compound lauric,,,Final Article,NTA,,,,,,NTA,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,31,S,A,ZA20,,,ELE,,2.20E+146,,NTA,A,,,,,,,,,
ILD-S6VHPSG-EU-03M,VH EASYMELT 10KG/BOX 64BOX/PAL,D,Dark,EAS,Easymelt,IL,compound lauric,,,Final Article,NTA,,,,,,NTA,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,31,S,A,ZA20,,,ELE,,2.20E+149,,NTA,A,,,,,,,,,
ILM-S5VHPSG-EU-03M,VH EASYMELT 10KG/BOX 64BOX/PAL,M,Milk,EAS,Easymelt,IL,compound lauric,,,Final Article,NTA,,,,,,NTA,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,31,S,A,ZA20,,,ELE,,2.20E+146,,NTA,A,,,,,,,,,
ILW-Q5VHPSG-EU-03M,VH EASYMELT 10KG/BOX 64BOX/PAL,W,White,EAS,Easymelt,IL,compound lauric,,,Final Article,NTA,,,,,,NTA,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,31,S,A,ZA20,,,ELE,,2.20E+147,,NTA,A,,,,,,,,,
IMP-F22A325-01-000,BC PB LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Factory trial,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,F,US44,,,KAL,,22A325,,SPM,F,T,,,,,,,,
IMP-F24A026-03-000,96_BC SHELF PB LIQUID LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Factory trial,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,F,US44,,,MFR,,24A026,,SPM,F,T,,,,,,,,
IMP-G300006-000,BC PB CHIP COAT LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,SMN,,19A608,,SPM,A,,,,,,,,,
IMP-G300018-000,BC PB COATING CLEAN LABEL LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,10,S,A,US44,,,MFR,,20A005,,SPM,A,,,,,,,,,
IMP-G300111-000,BC PB CTR EU LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,1002,,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,MFR,,21A116,,1002,A,,,,,,,,,
IMP-G300180-000,BC PB WAFER LIQUID,P,Peanuts,LIQ,Liquid,IM,compound mixed,,,Final Article,SPM,T,,KD-,Kosher Dairy,,NTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,S,A,US44,,,KAL,,22A185,,SPM,A,T,,,,,,,,
