,Material_Code,Material_Description,Certification,Moulding_Type,Product_Type,Base_Type,Shelflife,Base_Type_Categories,Base_Type_Description,Product_Type_Categories,Product_Type_Description,Moulding_Type_Segments,Moulding_Type_Description
1731,FWF-513274CAR-U37,AM CANDY BAR R 24KG/EA 33EA/PAL,SPM,bucket/box over 15 kg,filling waterbased,Flavoured based on white!,6,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based filling used for lightweight confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in large-scale production.
1732,FWF-513617-D72,AM KRAV ORGANIC PREP VANILLA CONTAINER,OREU,container,filling waterbased,Flavoured based on white!,3,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based filling used for lightweight confectionery and pastries.,"Bakery and Pastry, Confectionary, Ice cream and Desserts",Bulk liquid or solid chocolate used in large-scale production.
1733,FWF-514-000,BC CARAMELMASSE R LIQUID,HALA,Liquid,filling waterbased,Flavoured based on white!,1,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based filling used for lightweight confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
1734,JWF-011APR-642,CR APRICO GEL 6KG/EA 72EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1735,JWF-011APR-642,CR APRICO GEL 6KG/EA 72EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1736,JWF-011APR-Z69,96_CR APRICO GEL 6KG/UC 2UC/BOX 35BOX/PA,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1737,JWF-011APR-Z69,96_CR APRICO GEL 6KG/UC 2UC/BOX 35BOX/PA,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1738,JWF-013APTUR-000,CR APRICOTURE LIQUID,HALA,Liquid,jelly waterbased,Flavoured based on white!,1,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
1739,JWF-013APTUR-Z51,CR APRICOTURE 13KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1740,JWF-013APTUR-Z51,CR APRICOTURE 13KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1741,JWF-020CAPCO-000,CR CAPOMA GEL LIQUID,HALA,Liquid,jelly waterbased,Flavoured based on white!,1,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
1742,JWF-020CAPCO-642,CR CAPOMA GEL 6KG/EA 72EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1743,JWF-020CAPCO-642,CR CAPOMA GEL 6KG/EA 72EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1744,JWF-020CAPCO-Z69,CR CAPOMA GEL 6KG/UC 2UC/BOX 35BOX/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1745,JWF-020CAPCO-Z69,CR CAPOMA GEL 6KG/UC 2UC/BOX 35BOX/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1746,JWF-021CAP-642,CR CAPOMA GEL 6KG/EA 72EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1747,JWF-021CAP-642,CR CAPOMA GEL 6KG/EA 72EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1748,JWF-021CAP-Z69,CR CAPOMA GEL 6KG/UC 2UC/BOX 35BOX/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1749,JWF-021CAP-Z69,CR CAPOMA GEL 6KG/UC 2UC/BOX 35BOX/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1750,JWF-125CAPZP-Z51,CR CAPOMA GEL 13KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1751,JWF-125CAPZP-Z51,CR CAPOMA GEL 13KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
1752,JWF-126FRAMZP-Z51,CR FRAMBO GEL 13KG/EA 52EA/PAL,HALA,bucket/box up to 15 kg,jelly waterbased,Flavoured based on white!,12,"Chocolate, Compounds",White chocolates flavored with additional ingredients like vanilla or fruit.,Sweets Specialities,Water-based jelly used in confectionery and pastries.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
